CÓDIGO PRESA	CODIGO PRESA EXTRAIDO	CODIGO ACTIVIDAD	CODIGO ACTIVIDAD EXTRAIDO	NOMBRE ACTIVIDAD	MANTENIMIENTO	PERIOCIDAD	PERSONAL	TIPO_EQUIPO	OkEliminar
CHG.E58 - CAB00 - TAB03 - VAB	CHG.E58	CHG.E58 - CAB00 - TAB03 - VAB	 CAB00 - TAB03 - VAB	VÁLVULA MULTICHORRO Nº02 MI	MANIOBRA	06_SEMESTRAL	PP	VÁLVULA	OK
CHG.E58 - CAB00 - TAB03 - VAB	CHG.E58	CHG.E58 - CAB00 - TAB03 - VAB	 CAB00 - TAB03 - VAB	VÁLVULA MULTICHORRO Nº02 MI	ENGRASE	07_ANUAL	PP	VÁLVULA	OK
CHG.E58 - CAB00 - TAB03 - VAB	CHG.E58	CHG.E58 - CAB00 - TAB03 - VAB	 CAB00 - TAB03 - VAB	VÁLVULA MULTICHORRO Nº02 MI	REVISIÓN	07_ANUAL	EE	VÁLVULA	OK
CHG.E58 - CAB00 - TAB03 - VAI00	CHG.E58	CHG.E58 - CAB00 - TAB03 - VAI00	 CAB00 - TAB03 - VAI00	VÁLVULA MANUAL DE VACIADO	MANIOBRA	06_SEMESTRAL	PP	VÁLVULA	OK
CHG.E58 - CAB00 - TAB03 - VAI00	CHG.E58	CHG.E58 - CAB00 - TAB03 - VAI00	 CAB00 - TAB03 - VAI00	VÁLVULA MANUAL DE VACIADO	ENGRASE	07_ANUAL	PP	VÁLVULA	OK
CHG.E58 - CAB00 - TAB03 - VAI00	CHG.E58	CHG.E58 - CAB00 - TAB03 - VAI00	 CAB00 - TAB03 - VAI00	VÁLVULA MANUAL DE VACIADO	REVISIÓN	07_ANUAL	EE	VÁLVULA	OK
CHG.E58 - CDF00 - AUS - CCD07	CHG.E58	CHG.E58 - CDF00 - AUS - CCD07	 CDF00 - AUS - CCD07	CAJA DE CENTRALIZACIÓN Y LECTURA CL-07 B00_GH	RATICIDA	02_SEMANAL	PP	CUADRO	OK
CHG.E58 - CDF00 - DDF00 - CMC00	CHG.E58	CHG.E58 - CDF00 - DDF00 - CMC00	 CDF00 - DDF00 - CMC00	CUADRO DE CONTROL Y MANIOBRAS 	RATICIDA	02_SEMANAL	PP	CUADRO	OK
CHG.E58 - CDF00 - DDF00 - COH00	CHG.E58	CHG.E58 - CDF00 - DDF00 - COH00	 CDF00 - DDF00 - COH00	CENTRAL OLEOHIDRÁULICA VÁLVULAS BUREAU	REVISIÓN	07_ANUAL	EE	COH	OK
CHG.E58 - CDF00 - DDF01 - EEV02	CHG.E58	CHG.E58 - CDF00 - DDF01 - EEV02	 CDF00 - DDF01 - EEV02	POLIPASTOS DE CADENAS 1.2. LÍNEA 01. 	REVISIÓN	07_ANUAL	EE	EEV	OK
